date_year,price
19-Aug,144.6
19-Sep,143.7
19-Oct,147.2
19-Nov,146.9
19-Dec,147.9
20-Jan,151.1
20-Feb,149.4
20-Mar,142.7
20-Apr,131.4
20-May,125.7
20-Jun,129.9
20-Jul,131.9
20-Aug,135.2
20-Sep,135.3
20-Oct,134.2
20-Nov,133.1
20-Dec,134.8
21-Jan,137.3
21-Feb,140.9
21-Mar,147.6
21-Apr,150.4
21-May,151.9
21-Jun,154.8
21-Jul,158.1
21-Aug,158.3
21-Sep,158.4
21-Oct,163.5
21-Nov,168.8
21-Dec,166.3
22-Jan,167.5
22-Feb,171.9
22-Mar,174.6
22-Apr,173.6
22-May,169.6
22-Jun,172.5
22-Jul,172
22-Aug,169.5
22-Sep,169.7
22-Oct,169
22-Nov,167.8
22-Dec,168.1
23-Jan,168.2
23-Feb,167.5
23-Mar,167.6
23-Apr,168.2
23-May,168
23-Jun,169.8
23-Jul,174.3
